Item,Brand,Seller,Category,Price,Ratings,URLId
"[Bulky] [Pre-order] Samsung 43"" AU7000 UHD 4K Smart TV (2021) 4 Ticks / 36 Months Warranty [Ship from 9th November 2021]",Samsung,Samsung Brand Store,More Smart Televisions from Samsung,$799.00,58 Ratings,30
[FREE GIFT]  Ready Stock Mi TV 4S Global Edition 55inch / 65inch Mi Android Smart TV  | 1 Year Warranty | L55M5-5ASP & L65M5-5ASP | Energy Efficiency 4 Ticks,MI,techliving,More Smart Televisions from MI,"$1,024.00",6 Ratings,31
[Bulky] LG FV1409S4W 9KG AI Direct Drive Front Load Washing Machine + Free Delivery + Free Installation + Free Disposal,LG,LG,More Washing Machines from LG,"$1,069.00",13 Ratings,32
[Bulky] LG FV1450S2K 10.5KG AI Direct Drive Front Load Washing Machine + Free Fiji Detergent Bundle + Free Delivery + Free Installation + Free Disposal,LG,LG,More Washing Machines from LG,"$1,569.00",3 Ratings,33
"[Bulky] Samsung EcoBubble ™ Washing Machine, 9Kg, Washer Dryer, 4 Ticks WD90T634DBN/SP",Samsung,Samsung Brand Store,More Washing Machines from Samsung,"$1,179.00",2 Ratings,34
"[Bulky] Samsung EcoBubble ™ Washing Machine, 8Kg, Front Load, 4 Ticks WW80T534DTT/SP",Samsung,Samsung Brand Store,More Washing Machines from Samsung,$899.00,No Ratings,35
[BULKY][Midea] NEW 7kg Premium Washer with Spa Care QuickWash and Drum Clean K-Series Front-Load Washing Machine [MFK768W],Midea,Midea,More Washing Machines from Midea,$499.00,8 Ratings,36
MIDEA MF768W 7KG FRONT LOAD WASHING MACHINE,Midea,Asia Excel Pte Ltd,More Washing Machines from Midea,$409.00,59 Ratings,37
ELECTROLUX EWF8025CQWA 8KG ULTIMATECARE™ 500 FRONT LOAD WASHING MACHINE,Electrolux,Asia Excel Pte Ltd,More Washing Machines from Electrolux,$799.00,33 Ratings,38
ELECTROLUX EWF1042BDWA 10KG ULTIMATECARE™ 800 FRONT LOAD WASHING MACHINE,Electrolux,Asia Excel Pte Ltd,More Washing Machines from Electrolux,"$1,488.00",10 Ratings,39
"[Bulky] Samsung SpaceMax ™ Refrigerator Side by Side, 647L, Energy Rating 2 Ticks RS62R5004B4/SS - Fridge",Samsung,Samsung Brand Store,More Refrigerators from Samsung,"$1,899.00",2 Ratings,40
(Bulky) Samsung RT35K553ASL/SS Top Freezer Refrigerator (362L),Samsung,Parisilk,More Refrigerators from Samsung,$909.00,5 Ratings,41
"[Bulky] Samsung Twin Cooling Plus ™ Refrigerator Top Mount Freezer, 500L, Energy Rating 3 Ticks RT50K6257B1/SS - Fridge",Samsung,Samsung Brand Store,More Refrigerators from Samsung,"$1,399.00",1 Ratings,42
SAMSUNG RS64R5304B4 617L SPACEMAX SIDE-BY-SIDE FRIDGE (2 TICKS) (NON-PLUMB),Samsung,Mega Discount Store,More Refrigerators from Samsung,"$2,398.00",2 Ratings,43
[Pre-Order] [Bulky] LG GB-B4059MT Inverter Linear Compressor 408L Bottom Freezer Refrigerator with DoorCooling - Matt Black + Free $50 Grocery Voucher + Free Delivery + Free Installation + Free Disposal  [Ship from  22 Oct],LG,LG,More Refrigerators from LG,"$1,639.00",3 Ratings,44
[Bulky] LG GT-M5967BL 592L 2-DOOR FRIDGE (3 TICKS),LG,Mega Discount Store,More Refrigerators from LG,"$2,459.00",1 Ratings,45
[Bulky] LG GT-B3127PZ Inverter Linear Compressor 312L Top Freezer Refrigerator with Door Cooling - Platinum Silver + Free Delivery + Free Installation + Free Disposal,LG,LG,More Refrigerators from LG,$869.00,3 Ratings,46
Nikon Camera DSLR D5600 18-140mm VR Kit Lens DX-Format *Free gift worth $130,Nikon,Nikon,More DSLR from Nikon,"$1,369.00",2 Ratings,47
Canon EOS 4000D EF-S 18-55 III,Canon,SSI Pte Ltd,More DSLR from Canon,$500.00,38 Ratings,48
Nikon D5600 + 18-140mm Kit,Nikon,Photozy Cameras,More DSLR from Nikon,"$1,099.00",18 Ratings,49
Nikon D5600 + 18-55mm VR Kit(Black),Nikon,Photozy Cameras,More DSLR from Nikon,$999.00,56 Ratings,50
[SPECIAL PRICE] Nikon D3500 Kit with 18-55mm DSLR Camera [Free Bag],Nikon,Shuttercam,More DSLR from Nikon,$731.00,6 Ratings,51
Canon EOS 90D Body Only,Canon,Photozy Cameras,More DSLR from Canon,"$1,579.00",2 Ratings,52
NIKON D500 KIT (16-80MM) 20.9 MEGAPIXELS DSLR DX CAMERA WITH 16-80MM LENS,Nikon,FEPL,More DSLR from Nikon,"$3,228.00",No Ratings,53
[SPECIAL PRICE] Nikon D7500 Body DSLR Camera [Free Bag],Nikon,Shuttercam,More DSLR from Nikon,"$1,159.00",2 Ratings,54
Canon EOS 200D II + EF-S 18-55mm IS STM,Canon,Photozy Cameras,More DSLR from Canon,$899.00,1 Ratings,55
Canon EOS 90D DSLR Camera with 18-135mm Lens (Free 64GB SDXC + Camera Bag),Canon,Click Cameras,More DSLR from Canon,"$2,250.00",1 Ratings,56
[Laptop promotion] Microsoft Surface Go 2,Microsoft,Microsoft,More Laptops from Microsoft,$618.00,110 Ratings,57
SPIGEN Case for iPhone 13 Pro [Thin Fit] All-Around Coverage with Same Thinness / iPhone 13 Pro Case / iPhone 13 Pro Casing / iPhone 13 Pro Cover,Spigen,Spigen,More Mobile Accessories from Spigen,$31.00,15 Ratings,58
