Item,Brand,Seller,Category,Price,Ratings,URLId
   Samsung EcoBubble   Washing Machine  8Kg  Front Load  4 Ticks WW80T534DTT SP,Samsung,Samsung Brand Store,Washing Machines,899.00,0,35
   Midea  NEW 7kg Premium Washer with Spa Care QuickWash and Drum Clean K Series Front Load Washing Machine  MFK768W ,Midea,Midea,Washing Machines,499.00,9,36
MIDEA MF768W 7KG FRONT LOAD WASHING MACHINE,Midea,Asia Excel Pte Ltd,Washing Machines,409.00,61,37
ELECTROLUX EWF8025CQWA 8KG ULTIMATECARE  500 FRONT LOAD WASHING MACHINE,Electrolux,Asia Excel Pte Ltd,Washing Machines,799.00,33,38
ELECTROLUX EWF1042BDWA 10KG ULTIMATECARE  800 FRONT LOAD WASHING MACHINE,Electrolux,Asia Excel Pte Ltd,Washing Machines,1488.00,10,39
   Samsung SpaceMax   Refrigerator Side by Side  647L  Energy Rating 2 Ticks RS62R5004B4 SS   Fridge,Samsung,Samsung Brand Store,Refrigerators,1899.00,2,40
   Samsung RT35K553ASL SS Top Freezer Refrigerator  362L ,Samsung,Parisilk,Refrigerators,909.00,5,41
   Samsung Twin Cooling Plus   Refrigerator Top Mount Freezer  500L  Energy Rating 3 Ticks RT50K6257B1 SS   Fridge,Samsung,Samsung Brand Store,Refrigerators,1399.00,1,42
SAMSUNG RS64R5304B4 617L SPACEMAX SIDE BY SIDE FRIDGE  2 TICKS   NON PLUMB ,Samsung,Mega Discount Store,Refrigerators,2398.00,2,43
      LG GB B4059MT Inverter Linear Compressor 408L Bottom Freezer Refrigerator with DoorCooling   Matt Black   Free  50 Grocery Voucher   Free Delivery   Free Installation   Free Disposal   Ship from  22 Oct ,LG,LG,Refrigerators,1639.00,3,44
   LG GT M5967BL 592L 2 DOOR FRIDGE  3 TICKS ,LG,Mega Discount Store,Refrigerators,2459.00,1,45
   LG GT B3127PZ Inverter Linear Compressor 312L Top Freezer Refrigerator with Door Cooling   Platinum Silver   Free Delivery   Free Installation   Free Disposal,LG,LG,Refrigerators,869.00,3,46
Nikon Camera DSLR D5600 18 140mm VR Kit Lens DX Format  Free gift worth  130,Nikon,Nikon,DSLR,1369.00,2,47
Canon EOS 4000D EF S 18 55 III,Canon,SSI Pte Ltd,DSLR,500.00,38,48
Nikon D5600   18 140mm Kit,Nikon,Photozy Cameras,DSLR,1099.00,18,49
Nikon D5600   18 55mm VR Kit Black ,Nikon,Photozy Cameras,DSLR,999.00,56,50
   Nikon D3500 Kit with 18 55mm DSLR Camera  Free Bag ,Nikon,Shuttercam,DSLR,731.00,6,51
Canon EOS 90D Body Only,Canon,Photozy Cameras,DSLR,1579.00,2,52
NIKON D500 KIT  16 80MM  20 9 MEGAPIXELS DSLR DX CAMERA WITH 16 80MM LENS,Nikon,FEPL,DSLR,3228.00,0,53
   Nikon D7500 Body DSLR Camera  Free Bag ,Nikon,Shuttercam,DSLR,1159.00,2,54
Canon EOS 200D II   EF S 18 55mm IS STM,Canon,Photozy Cameras,DSLR,899.00,1,55
Canon EOS 90D DSLR Camera with 18 135mm Lens  Free 64GB SDXC   Camera Bag ,Canon,Click Cameras,DSLR,2250.00,1,56
 Laptop promotion  Microsoft Surface Go 2,Microsoft,Microsoft,Laptops,618.00,110,57
SPIGEN Case for iPhone 13 Pro  Thin Fit  All Around Coverage with Same Thinness   iPhone 13 Pro Case   iPhone 13 Pro Casing   iPhone 13 Pro Cover,Spigen,Spigen,Mobile Accessories,31.00,15,58
No Brand Chocochip Cookies,No Brand,RedMart,"Chocolate, Snacks & Sweets",5.90,204,60
Pokka Jasmine Green Tea  24 x 250ml    Case,pokka,RedMart,Drinks,9.80,4703,61
Master Grocer Australia Ribeye Sukiyaki   Frozen,Master Grocer,RedMart,Frozen,10.95,0,63
Pan s Meat Beef Minced   Frozen,Pan's Meat,RedMart,Frozen,5.50,27,64
